id,exercise_name,type_of_activity,type_of_equipment,body_part,type,muscle_groups_activated,instruction
126,Deficit Dips,warm-up,treadmill,lower,hold,"hamstrings, glutes, calves","Setup: Prepare equipment: treadmill. Ensure stable setup and safe load. Brace core, keep neutral spine, drive through whole foot. Primary focus: hamstrings, glutes, calves. Movement: Hold/maintain to a controlled end range, then return under control (Find a stable, aligned position and sustain tension without shaking.). Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Breathe light and steady; do not brace with a breath hold. Coaching cues: keep neck long, ribs down, and knees tracking over toes. Common mistakes: avoid holding breath; keep steady tension. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
127,Incline Bench Press,mobility,pull-up bar,core,hold,"lower back, obliques, abs","Setup: Prepare equipment: pull-up bar. Ensure stable setup and safe load. Exhale gently to brace; avoid flaring ribs or arching low back. Primary focus: lower back, obliques, abs. Movement: Hold/maintain to a controlled end range, then return under control (Find a stable, aligned position and sustain tension without shaking.). Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Breathe light and steady; do not brace with a breath hold. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid holding breath; keep steady tension. Avoid collapsing posture or losing core brace. Safety: Never force end range; joints should feel stable."
128,Static Calf Raise Reach,mobility,dumbbells,upper,push,"deltoids, chest, forearms","Setup: Hold dumbbells with a neutral, secure grip; wrists straight. Draw ribs down, keep shoulders packed and away from ears. Primary focus: deltoids, chest, forearms. Movement: Press/drive to a controlled end range, then return under control (Use a full, pain‑free range, stopping just before joint lockout.). Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid flaring elbows or arching the back. Avoid collapsing posture or losing core brace. Safety: Never force end range; joints should feel stable."
129,Tall-Kneeling Deadlift,mobility,bike,upper,hold,"triceps, forearms, traps","Setup: Prepare equipment: bike. Ensure stable setup and safe load. Draw ribs down, keep shoulders packed and away from ears. Primary focus: triceps, forearms, traps. Movement: Hinge at hips with a flat back, push hips back, then extend to stand tall; keep bar/bell close to shins. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Breathe light and steady; do not brace with a breath hold. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid holding breath; keep steady tension. Avoid collapsing posture or losing core brace. Safety: Never force end range; joints should feel stable."
130,Feet-Elevated Farmer Carry,warm-up,dip belt,upper,push,"lats, biceps, triceps","Setup: Prepare equipment: dip belt. Ensure stable setup and safe load. Draw ribs down, keep shoulders packed and away from ears. Primary focus: lats, biceps, triceps. Movement: Press/drive to a controlled end range, then return under control (Use a full, pain‑free range, stopping just before joint lockout.). Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid flaring elbows or arching the back. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
131,Standing Tricep Extension Twist,cardio,treadmill,upper,pull,"traps, biceps, forearms","Setup: Prepare equipment: treadmill. Ensure stable setup and safe load. Draw ribs down, keep shoulders packed and away from ears. Primary focus: traps, biceps, forearms. Movement: Pull/row to a controlled end range, then return under control (Reach a strong squeeze at end range; control the return fully.). Tempo: steady pace. Dose: 5–15 minutes (RPE 6–7/10). Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and elbows close. Common mistakes: avoid shrugging or using momentum. Avoid collapsing posture or losing core brace. Safety: Keep posture tall; reduce pace if form degrades."
132,Squat Iso,warm-up,bike,core,stretch,"abs, obliques, lower back","Setup: Prepare equipment: bike. Ensure stable setup and safe load. Exhale gently to brace; avoid flaring ribs or arching low back. Primary focus: abs, obliques, lower back. Movement: Gently enter the stretch until a mild pull is felt; hold without bouncing and keep breathing. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Slow nasal breaths; exhale to deepen slightly, no pain. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid bouncing; stay within mild discomfort. Do not bounce or hyperextend joints. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
133,Tricep Extension,warm-up,assisted machine,core,push,"obliques, lower back, abs","Setup: Adjust machine seat and lever to align joints with pivots. Exhale gently to brace; avoid flaring ribs or arching low back. Primary focus: obliques, lower back, abs. Movement: Press/drive to a controlled end range, then return under control (Use a full, pain‑free range, stopping just before joint lockout.). Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid flaring elbows or arching the back. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
134,Wide-Grip Jump Rope,strength,jump rope,lower,stretch,"calves, hamstrings, glutes","Setup: Prepare equipment: jump rope. Ensure stable setup and safe load. Brace core, keep neutral spine, drive through whole foot. Primary focus: calves, hamstrings, glutes. Movement: Gently enter the stretch until a mild pull is felt; hold without bouncing and keep breathing. Tempo: 3‑1‑1‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Slow nasal breaths; exhale to deepen slightly, no pain. Coaching cues: keep neck long, ribs down, and knees tracking over toes. Common mistakes: avoid bouncing; stay within mild discomfort. Do not bounce or hyperextend joints. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
135,Overhead Press Variation,warm-up,bike,full body,hold,"core, back, chest","Setup: Prepare equipment: bike. Ensure stable setup and safe load. Maintain tall posture, neutral spine, and steady breathing. Primary focus: core, back, chest. Movement: Squeeze glutes and ribs down, press overhead without arching; lock out with biceps by ears. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Breathe light and steady; do not brace with a breath hold. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid holding breath; keep steady tension. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
136,Lateral Raise Variation,mobility,rings,upper,stretch,"triceps, lats, biceps","Setup: Prepare equipment: rings. Ensure stable setup and safe load. Draw ribs down, keep shoulders packed and away from ears. Primary focus: triceps, lats, biceps. Movement: Gently enter the stretch until a mild pull is felt; hold without bouncing and keep breathing. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Slow nasal breaths; exhale to deepen slightly, no pain. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid bouncing; stay within mild discomfort. Do not bounce or hyperextend joints. Safety: Never force end range; joints should feel stable."
137,Copenhagen Lunge Variation,cardio,rower,core,push,"abs, lower back, obliques","Setup: Prepare equipment: rower. Ensure stable setup and safe load. Exhale gently to brace; avoid flaring ribs or arching low back. Primary focus: abs, lower back, obliques. Movement: Step and lower until front thigh is near parallel, back knee under hip; drive through front foot to stand. Tempo: steady pace. Dose: 5–15 minutes (RPE 6–7/10). Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid flaring elbows or arching the back. Avoid collapsing posture or losing core brace. Safety: Keep posture tall; reduce pace if form degrades."
138,Paused Jump Rope Raise,warm-up,dumbbells,upper,pull,"lats, biceps, triceps","Setup: Hold dumbbells with a neutral, secure grip; wrists straight. Draw ribs down, keep shoulders packed and away from ears. Primary focus: lats, biceps, triceps. Movement: Pull/row to a controlled end range, then return under control (Reach a strong squeeze at end range; control the return fully.). Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and elbows close. Common mistakes: avoid shrugging or using momentum. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
139,Step-Up Hold,warm-up,kettlebells,lower,hold,"quads, calves, glutes","Setup: Place kettlebell close to midline; hinge to grip; pack shoulders. Brace core, keep neutral spine, drive through whole foot. Primary focus: quads, calves, glutes. Movement: Hold/maintain to a controlled end range, then return under control (Find a stable, aligned position and sustain tension without shaking.). Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Breathe light and steady; do not brace with a breath hold. Coaching cues: keep neck long, ribs down, and knees tracking over toes. Common mistakes: avoid holding breath; keep steady tension. Avoid collapsing posture or losing core brace. Safety: Keep bell close to centerline to protect lower back."
140,Row Combo,cardio,dumbbells,full body,push,"back, core, chest","Setup: Hold dumbbells with a neutral, secure grip; wrists straight. Maintain tall posture, neutral spine, and steady breathing. Primary focus: back, core, chest. Movement: Pull elbows back toward hips, squeeze shoulder blades, then return slowly without shrugging. Tempo: steady pace. Dose: 5–15 minutes (RPE 6–7/10). Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid flaring elbows or arching the back. Avoid collapsing posture or losing core brace. Safety: Keep posture tall; reduce pace if form degrades."
141,Single-Leg Mountain Climber Twist,strength,cable machine,full body,push,"legs, core, chest","Setup: Adjust machine seat and lever to align joints with pivots. Maintain tall posture, neutral spine, and steady breathing. Primary focus: legs, core, chest. Movement: Press/drive to a controlled end range, then return under control (Use a full, pain‑free range, stopping just before joint lockout.). Tempo: 3‑1‑1‑0. Dose: 3–4 sets × 6–10 reps. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid flaring elbows or arching the back. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
142,Dynamic Bench Press Rotation,warm-up,resistance band,upper,push,"deltoids, lats, forearms","Setup: Anchor the resistance band safely; check for tears before use. Draw ribs down, keep shoulders packed and away from ears. Primary focus: deltoids, lats, forearms. Movement: Press/drive to a controlled end range, then return under control (Use a full, pain‑free range, stopping just before joint lockout.). Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid flaring elbows or arching the back. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
143,Isometric Side Plank,warm-up,kettlebells,core,hold,"obliques, abs, lower back","Setup: Place kettlebell close to midline; hinge to grip; pack shoulders. Exhale gently to brace; avoid flaring ribs or arching low back. Primary focus: obliques, abs, lower back. Movement: Create a straight line from ears to ankles; squeeze glutes and quads; keep belly slightly tucked. Hold steadily. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Breathe light and steady; do not brace with a breath hold. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid holding breath; keep steady tension. Avoid collapsing posture or losing core brace. Safety: Keep bell close to centerline to protect lower back."
144,Hip Thrust Hold,strength,smith machine,core,push,"lower back, obliques, abs","Setup: Adjust machine seat and lever to align joints with pivots. Exhale gently to brace; avoid flaring ribs or arching low back. Primary focus: lower back, obliques, abs. Movement: Drive through heels to extend hips fully; pause and squeeze glutes, then lower with control. Tempo: 3‑1‑1‑0. Dose: 3–4 sets × 6–10 reps. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid flaring elbows or arching the back. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
145,Isometric Farmer Carry Hold,warm-up,bodyweight,upper,stretch,"deltoids, traps, chest","Setup: Bodyweight only—use controlled tempo and balance. Draw ribs down, keep shoulders packed and away from ears. Primary focus: deltoids, traps, chest. Movement: Gently enter the stretch until a mild pull is felt; hold without bouncing and keep breathing. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Slow nasal breaths; exhale to deepen slightly, no pain. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid bouncing; stay within mild discomfort. Do not bounce or hyperextend joints. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
146,Feet-Elevated Deadlift Combo,strength,dip belt,core,push,"abs, obliques, lower back","Setup: Prepare equipment: dip belt. Ensure stable setup and safe load. Exhale gently to brace; avoid flaring ribs or arching low back. Primary focus: abs, obliques, lower back. Movement: Hinge at hips with a flat back, push hips back, then extend to stand tall; keep bar/bell close to shins. Tempo: 3‑1‑1‑0. Dose: 3–4 sets × 6–10 reps. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid flaring elbows or arching the back. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
147,Mountain Climber March,mobility,smith machine,upper,pull,"deltoids, biceps, traps","Setup: Adjust machine seat and lever to align joints with pivots. Draw ribs down, keep shoulders packed and away from ears. Primary focus: deltoids, biceps, traps. Movement: Pull/row to a controlled end range, then return under control (Reach a strong squeeze at end range; control the return fully.). Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and elbows close. Common mistakes: avoid shrugging or using momentum. Avoid collapsing posture or losing core brace. Safety: Never force end range; joints should feel stable."
148,Incline Pull-Up Series,warm-up,bike,core,pull,"abs, obliques, lower back","Setup: Prepare equipment: bike. Ensure stable setup and safe load. Exhale gently to brace; avoid flaring ribs or arching low back. Primary focus: abs, obliques, lower back. Movement: Pull elbows back toward hips, squeeze shoulder blades, then return slowly without shrugging. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and elbows close. Common mistakes: avoid shrugging or using momentum. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
149,Leg Press,cardio,barbells,full body,push,"legs, back, chest","Setup: Set barbell with collars secured; grip evenly; brace before lift. Maintain tall posture, neutral spine, and steady breathing. Primary focus: legs, back, chest. Movement: Press/drive to a controlled end range, then return under control (Use a full, pain‑free range, stopping just before joint lockout.). Tempo: steady pace. Dose: 5–15 minutes (RPE 6–7/10). Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid flaring elbows or arching the back. Avoid collapsing posture or losing core brace. Safety: Start lighter than you think; add load gradually. Keep posture tall; reduce pace if form degrades."
150,Side Plank,mobility,smith machine,upper,hold,"deltoids, triceps, forearms","Setup: Adjust machine seat and lever to align joints with pivots. Draw ribs down, keep shoulders packed and away from ears. Primary focus: deltoids, triceps, forearms. Movement: Create a straight line from ears to ankles; squeeze glutes and quads; keep belly slightly tucked. Hold steadily. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Breathe light and steady; do not brace with a breath hold. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid holding breath; keep steady tension. Avoid collapsing posture or losing core brace. Safety: Never force end range; joints should feel stable."
151,Overhead Press,warm-up,dip belt,lower,pull,"hamstrings, glutes, quads","Setup: Prepare equipment: dip belt. Ensure stable setup and safe load. Brace core, keep neutral spine, drive through whole foot. Primary focus: hamstrings, glutes, quads. Movement: Squeeze glutes and ribs down, press overhead without arching; lock out with biceps by ears. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and elbows close. Common mistakes: avoid shrugging or using momentum. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
152,Calf Raise Pulse,strength,rings,upper,push,"triceps, deltoids, biceps","Setup: Prepare equipment: rings. Ensure stable setup and safe load. Draw ribs down, keep shoulders packed and away from ears. Primary focus: triceps, deltoids, biceps. Movement: Press/drive to a controlled end range, then return under control (Use a full, pain‑free range, stopping just before joint lockout.). Tempo: 3‑1‑1‑0. Dose: 3–4 sets × 6–10 reps. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid flaring elbows or arching the back. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
153,Tall-Kneeling Overhead Press,warm-up,rings,core,stretch,"obliques, abs, lower back","Setup: Prepare equipment: rings. Ensure stable setup and safe load. Exhale gently to brace; avoid flaring ribs or arching low back. Primary focus: obliques, abs, lower back. Movement: Gently enter the stretch until a mild pull is felt; hold without bouncing and keep breathing. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Slow nasal breaths; exhale to deepen slightly, no pain. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid bouncing; stay within mild discomfort. Do not bounce or hyperextend joints. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
154,Incline Overhead Press Hold,warm-up,kettlebells,full body,push,"back, core, chest","Setup: Place kettlebell close to midline; hinge to grip; pack shoulders. Maintain tall posture, neutral spine, and steady breathing. Primary focus: back, core, chest. Movement: Squeeze glutes and ribs down, press overhead without arching; lock out with biceps by ears. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid flaring elbows or arching the back. Avoid collapsing posture or losing core brace. Safety: Keep bell close to centerline to protect lower back."
155,B-Stance Step-Up,cardio,dip belt,lower,pull,"glutes, hamstrings, calves","Setup: Prepare equipment: dip belt. Ensure stable setup and safe load. Brace core, keep neutral spine, drive through whole foot. Primary focus: glutes, hamstrings, calves. Movement: Pull/row to a controlled end range, then return under control (Reach a strong squeeze at end range; control the return fully.). Tempo: steady pace. Dose: 5–15 minutes (RPE 6–7/10). Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and elbows close. Common mistakes: avoid shrugging or using momentum. Avoid collapsing posture or losing core brace. Safety: Keep posture tall; reduce pace if form degrades."
156,Tricep Extension Raise,warm-up,barbells,upper,stretch,"deltoids, lats, chest","Setup: Set barbell with collars secured; grip evenly; brace before lift. Draw ribs down, keep shoulders packed and away from ears. Primary focus: deltoids, lats, chest. Movement: Gently enter the stretch until a mild pull is felt; hold without bouncing and keep breathing. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Slow nasal breaths; exhale to deepen slightly, no pain. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid bouncing; stay within mild discomfort. Do not bounce or hyperextend joints. Safety: Start lighter than you think; add load gradually."
157,Tempo Lunge Combo,mobility,smith machine,core,hold,"lower back, obliques, abs","Setup: Adjust machine seat and lever to align joints with pivots. Exhale gently to brace; avoid flaring ribs or arching low back. Primary focus: lower back, obliques, abs. Movement: Step and lower until front thigh is near parallel, back knee under hip; drive through front foot to stand. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Breathe light and steady; do not brace with a breath hold. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid holding breath; keep steady tension. Avoid collapsing posture or losing core brace. Safety: Never force end range; joints should feel stable."
158,Explosive Side Plank,strength,dumbbells,full body,stretch,"legs, chest, back","Setup: Hold dumbbells with a neutral, secure grip; wrists straight. Maintain tall posture, neutral spine, and steady breathing. Primary focus: legs, chest, back. Movement: Gently enter the stretch until a mild pull is felt; hold without bouncing and keep breathing. Tempo: 3‑1‑1‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Slow nasal breaths; exhale to deepen slightly, no pain. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid bouncing; stay within mild discomfort. Do not bounce or hyperextend joints. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
159,Dips Iso,cardio,resistance band,core,stretch,"obliques, abs, lower back","Setup: Anchor the resistance band safely; check for tears before use. Exhale gently to brace; avoid flaring ribs or arching low back. Primary focus: obliques, abs, lower back. Movement: Gently enter the stretch until a mild pull is felt; hold without bouncing and keep breathing. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Slow nasal breaths; exhale to deepen slightly, no pain. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid bouncing; stay within mild discomfort. Do not bounce or hyperextend joints. Safety: Keep posture tall; reduce pace if form degrades."
160,Leg Press Reach,warm-up,dip belt,full body,pull,"back, chest, core","Setup: Prepare equipment: dip belt. Ensure stable setup and safe load. Maintain tall posture, neutral spine, and steady breathing. Primary focus: back, chest, core. Movement: Pull/row to a controlled end range, then return under control (Reach a strong squeeze at end range; control the return fully.). Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and elbows close. Common mistakes: avoid shrugging or using momentum. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
161,Standing Bicep Curl March,mobility,kettlebells,upper,pull,"forearms, chest, triceps","Setup: Place kettlebell close to midline; hinge to grip; pack shoulders. Draw ribs down, keep shoulders packed and away from ears. Primary focus: forearms, chest, triceps. Movement: Pull/row to a controlled end range, then return under control (Reach a strong squeeze at end range; control the return fully.). Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and elbows close. Common mistakes: avoid shrugging or using momentum. Avoid collapsing posture or losing core brace. Safety: Never force end range; joints should feel stable. Keep bell close to centerline to protect lower back."
162,Lunge Hold,cardio,pull-up bar,lower,pull,"quads, hamstrings, calves","Setup: Prepare equipment: pull-up bar. Ensure stable setup and safe load. Brace core, keep neutral spine, drive through whole foot. Primary focus: quads, hamstrings, calves. Movement: Step and lower until front thigh is near parallel, back knee under hip; drive through front foot to stand. Tempo: steady pace. Dose: 5–15 minutes (RPE 6–7/10). Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and elbows close. Common mistakes: avoid shrugging or using momentum. Avoid collapsing posture or losing core brace. Safety: Keep posture tall; reduce pace if form degrades."
163,Tricep Extension Iso,mobility,jump rope,full body,hold,"legs, chest, core","Setup: Prepare equipment: jump rope. Ensure stable setup and safe load. Maintain tall posture, neutral spine, and steady breathing. Primary focus: legs, chest, core. Movement: Hold/maintain to a controlled end range, then return under control (Find a stable, aligned position and sustain tension without shaking.). Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Breathe light and steady; do not brace with a breath hold. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid holding breath; keep steady tension. Avoid collapsing posture or losing core brace. Safety: Never force end range; joints should feel stable."
164,Overhead Press Hold,strength,treadmill,full body,hold,"back, legs, chest","Setup: Prepare equipment: treadmill. Ensure stable setup and safe load. Maintain tall posture, neutral spine, and steady breathing. Primary focus: back, legs, chest. Movement: Squeeze glutes and ribs down, press overhead without arching; lock out with biceps by ears. Tempo: 3‑1‑1‑0. Dose: 3–5 sets × 20–40 sec hold. Rest 45–90s between sets. Breathing: Breathe light and steady; do not brace with a breath hold. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid holding breath; keep steady tension. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
165,Copenhagen Bicep Curl,warm-up,smith machine,full body,pull,"chest, back, legs","Setup: Adjust machine seat and lever to align joints with pivots. Maintain tall posture, neutral spine, and steady breathing. Primary focus: chest, back, legs. Movement: Pull/row to a controlled end range, then return under control (Reach a strong squeeze at end range; control the return fully.). Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and elbows close. Common mistakes: avoid shrugging or using momentum. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
166,Close-Grip Calf Raise,strength,dip belt,upper,hold,"traps, lats, biceps","Setup: Prepare equipment: dip belt. Ensure stable setup and safe load. Draw ribs down, keep shoulders packed and away from ears. Primary focus: traps, lats, biceps. Movement: Hold/maintain to a controlled end range, then return under control (Find a stable, aligned position and sustain tension without shaking.). Tempo: 3‑1‑1‑0. Dose: 3–5 sets × 20–40 sec hold. Rest 45–90s between sets. Breathing: Breathe light and steady; do not brace with a breath hold. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid holding breath; keep steady tension. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
167,Half-Kneeling Push-Up Variation,mobility,resistance band,upper,stretch,"chest, deltoids, traps","Setup: Anchor the resistance band safely; check for tears before use. Draw ribs down, keep shoulders packed and away from ears. Primary focus: chest, deltoids, traps. Movement: Gently enter the stretch until a mild pull is felt; hold without bouncing and keep breathing. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Slow nasal breaths; exhale to deepen slightly, no pain. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid bouncing; stay within mild discomfort. Do not bounce or hyperextend joints. Safety: Never force end range; joints should feel stable."
168,Glute Bridge Raise,mobility,jump rope,upper,hold,"lats, traps, biceps","Setup: Prepare equipment: jump rope. Ensure stable setup and safe load. Draw ribs down, keep shoulders packed and away from ears. Primary focus: lats, traps, biceps. Movement: Drive through heels to extend hips fully; pause and squeeze glutes, then lower with control. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Breathe light and steady; do not brace with a breath hold. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid holding breath; keep steady tension. Avoid collapsing posture or losing core brace. Safety: Never force end range; joints should feel stable."
